BranchCode,STORE_NAME_CUST,STORE_ID,STORE_NAME,PROVINCE,STORE_TYPE,REGION
GH-135,สาขาจันทบุรี สาขาที่  00031,S00514,GH-CHANTHABURI,CHANTHABURI,STORE,WEST&EAST
GH-206,สาขาสว่างแดนดิน สาขาที่ 00090,S00515,GH-SAWANGDAEDIN-SAKONNAKHON,SAKONNAKHON,STORE,NORTHEAST
GH-154,สาขาสุราษฎร์ธานี สาขาที่00043,S00524,GH-SURATTHANI,SURATTHANI,STORE,SOUTH
GH-132,สาขาลพบุรี  สาขาที่  00028,S00525,GH-LOPBURI,LOPBURI,STORE,WEST&EAST
GH-121,สาขาลำพูน สาขาที่  00018,S00528,GH-LAMPHUN,LAMPHUN,STORE,NORTH
GH-151,สาขาศาลายา สาขาที่ 00039,S00537,GH:SALAYA-NAKHONPATHOM,NAKHONPATHOM,STORE,WEST&EAST
GH-103,สาขาอุดรธานี สาขาที่ 00002,S00541,GH-UDONTHANI,UDONTHANI,STORE,NORTHEAST
GH-124,สาขาลำปาง สาขาที่  00024,S00544,GH-LAMPANG,LAMPANG,STORE,NORTH
GH-209,สาขาสวรรคโลก สาขาที่ 00092,S00558,GH-SAWANKHALOK-SUKHOTHAI,SUKHOTHAI,STORE,NORTH
GH-211,สาขาเดอะไนน์เซ็นเตอร์ติวานนท์ สาขาที่ 00086,S00563,GH:THE_NINE_TIWANONT,BANGKOK,STORE,BKK CENTRAL
GH-113,สาขาบ้านไผ่  สาขาที่   00023,S00581,GH-BAN_PHAI-KHONKAEN,KHONKAEN,STORE,NORTHEAST
GH-207,สาขาลำปลายมาศ  สาขาที่ 00091,S00588,GH-LAM_PHAI_MAT-BURIRAM,BURIRAM,STORE,NORTHEAST
GH-123,สาขาประจวบคีรีขันธ์ สาขาที่ 00050,S00598,GH-PRACHUAPKHIRIKHAN,PRACHUAPKHIRIKHAN,STORE,WEST&EAST
GH-001,HO,TGH-001,GH.DC-GH001-HEAD_OFFICE,BANGKOK,DC,BKK CENTRAL
GH-002,ศูนย์กระจายสินค้า,TGH-002,GH.DC-GH002-DC,BANGKOK,DC,BKK CENTRAL
GH-003,ศูนย์กระจายสินค้า2,TGH-003,GH.DC-GH003-DC,BANGKOK,DC,BKK CENTRAL
GH-004,สาขาวังน้อย สาขาที่ 00055,TGH-004,GH.DC-GH004-DC_WANGNOI,AYUTTHAYA,DC,WEST&EAST
GH-202,สาขานราธิวาส สาขาที่ 00093,S01183,GH-NARATHIWAT,NARATHIWAT,STORE,SOUTH
GH-210,สาขาบ้านดุง สาขาที่ 00094,S01239,GH-BANDUNG-UDONTHANI,UDONTHANI,STORE,NORTHEAST
GH-214,แม่สอด ตาก,S02046,GH-MAESOD-TAK,TAK,STORE,NORTH
GH-213,สาขาเวียงสา สาขาที่ 00096,S02228,GH-WIANGSA-NAN,NAN,STORE,NORTH
n/a,n/a,S20229,SANGUAN_CHAI_HIGH_TECH-KAMPHAENGPHET,KAMPHAENGPHET,STORE,NORTH
GH-212,สาขาสมเด็จ สาขาที่ 00212,S02246,GH-SOMDEJ-KALASIN,KALASIN,STORE,NORTHEAST
GH-199,สาขาลาดยาว สาขาที่ 00199,S02247,GH-LADYAO-NAKHONSAWAN,NAKHONSAWAN,STORE,NORTH
GH-216,สาขาโพนพิสัย สาขาที่ 00100,S02270,GH-PHONPHISAI-NONGKHAI,NONGKHAI,STORE,NORTHEAST
GH-009,สาขาลามายอนวังน้อย,TGH-009,GH.DC-GH009_LAMAYON-DC_WANGNOI,AYUTTHAYA,DC,WEST&EAST
GH-208,สาขาวังทอง,S02310,GH-WANGTHONG-PHITSANULOK,PHITSANULOK,STORE,NORTH
GH-215,สาขาบ้านผือ สาขาที่ 00103,S02348,GH-BANPHUE-UDONTHANI,UDONTHANI,STORE,NORTHEAST
NEWGH04,สาขาเชียงคำ,S02349,GH-CHIANG_KAM-PHAYAO,PHAYAO,STORE,NORTH
NEWGH05,สาขาอรัญประเทศ,S02350,GH-ARANYAPRATHET-SAKAEO,SAKAEO,STORE,WEST&EAST
GH-217,สาขาตระการพืชผล  สาขาที่ 00102 ,S02355,GH-TRAKANPHUETPHON-UBONRATCHATHANI,UBONRATCHATHANI,STORE,NORTHEAST
